infores_name,domain_coverage_score,domain_coverage_comments,source_scope_score,source_scope_score_comment,utility_drugrepurposing_score,utility_drugrepurposing_comment,noise_penalty_adjustment,noise_penalty_adjustment_comment,core_edge_family_flag,label_rubric_revised,reviewer
Text Mining Targeted Association API,2.0,Entities seen: targets and diseases; Relation: T-D consistently present across many records; includes PMIDs and evidence strings; xrefs to UniProt and EFO observed,2.0,Multi-disease human coverage at mid-scale; thousands of targets and diseases; tens of thousands of edges; captures a wide therapeutic spectrum but not a full multi-modality backbone,2.0,Direct edges: T-D associations mined from literature; PMIDs present for most; direction/effect partial and context often correlative rather than mechanistic; mappings to UniProt and EFO reasonably aligned,-1.0,Moderate noise due to text-mined associations with variable precision (~70-85%); many edges labeled “associated with” without mechanistic clarity; confidence scoring helps filter high-quality subset,True,Medium,https://orcid.org/0000-0003-4097-3395
IntAct,2.0,Entities seen: gene protein; Relations: T-T protein-protein interactions consistently present; xrefs to UniProt and other protein databases observed; no drug or disease entities present,2.0,Multi organism PPI resource with tens to hundreds of thousands of interactions; human and model species covered; single modality focused on molecular interactions,1.0,"Indirect only for repurposing; no D-T, T-D, D-D, indication, or AE edges; PPIs provide mechanistic context but require downstream integration for drug-disease modeling",0.0,Curated and experimentally supported interactions with confidence annotations; precision ≥85%; minimal generic noise,True,Medium,https://orcid.org/0000-0003-4097-3395
National Cancer Institute Thesaurus,2.0,"Entities seen: disease, drug, gene, anatomy, procedure; Relations: disease classification, drug-disease therapeutic use, gene-disease associations present; xrefs common to UMLS, MeSH, SNOMED CT, HGNC; relations largely terminological or definitional",2.0,"Cancer-centric focus (domain-specific, not broad cross-disease); 40,000+ cancer/neoplasm concepts with granular classification; 26,000 drugs/agents including comprehensive combination chemotherapy regimens; human-focused; mid-scale: hundreds of thousands of concepts but narrow therapeutic scope vs. pan-disease resources; covers clinical care, translational research, basic science; Federal CHI standard anatomy; strong in oncology pharmacology but limited outside cancer domain.",1.0,Indirect only for repurposing; therapeutic use relations present but lack direction effect strength or evidence granularity; no explicit D-T binding or AE edges usable without heavy curation,0.0,"Manually curated by NCI Enterprise Vocabulary Services (EVS); description logic modeling with automated consistency checks; monthly updates (~700 new concepts/release); extensive QA lifecycle including automated checks, manual review, external partner evaluation; Federal CHI standard; precision ≥85% for curated concepts; concept history tracked; used in production NCI systems (cancer.gov, caCORE, clinical trials coding).",True,Medium,https://orcid.org/0000-0003-4097-3395
Bgee,2.0,"Entities seen: gene, anatomy tissue, developmental stage; Relations: gene-expression-anatomy consistently present; xrefs to Ensembl, Uberon, NCBI Gene observed; no drug entities and no disease entities as primary objects",2.0,Multi species gene expression resource covering human and model organisms; tens of thousands of genes across many tissues and stages; single modality focused on expression,1.0,"Indirect only for repurposing; no D-T, T-D, D-D, indication, or AE edges; expression context useful for mechanism interpretation but not directly usable for D→D modeling",0.0,Curated and integrated expression calls with quality filtering; precision ≥85%; no generic text mined associations,True,Medium,https://orcid.org/0000-0003-4097-3395
Hetionet,3.0,"Entities seen: drug, target gene, disease, pathway, anatomy, adverse effect; Relations: D-T, T-D, D-D indication, AE, pathway membership, PPI present; xrefs to DrugBank, ChEMBL, UniProt, DOID, MeSH observed",3.0,"Broad cross disease general purpose KG; integrates many upstream sources; hundreds of thousands of edges across drugs, genes, diseases, pathways, and AEs; multi modality backbone",3.0,"Multiple direct edge families are strong (D-T + T-D, or D-D + AE). Direction/effect is clear for most edges AND evidence/confidence is routine. Negatives / clinical context exist AND IDs align cleanly; meaning plug-and-play for repurposing, not just enrichment",0.0,"No penalty: core D-T, T-D, and D-D edges are manually curated from trusted databases by Daniel Himmelstein et al. at UCSF/Penn; gold-standard indications validated; documented QC, de-duplication, and standardized vocabularies; benchmarked precision ≥85%",True,High,https://orcid.org/0000-0003-4097-3395
Medical Subject Headings Thesaurus,2.0,"Entities seen: disease, drug chemical, anatomy, phenotype; relations mainly hierarchical classification; descriptors rich with synonyms and identifiers and xrefs via UMLS",3.0,"Broad general purpose biomedical thesaurus spanning most diseases, drugs, anatomy, and concepts at large scale",1.0,"Indirect only; no clear D-T, T-D, D-D indication, or AE edges for modeling; relations are terminological and hierarchical without direction or clinical context",0.0,No penalty: curated vocabulary with high precision and no text mined unscored assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
Panther Classification System,2.0,"Entities seen: gene protein, protein family, pathway, GO function; Relations: gene-family membership and gene-pathway associations consistently present; xrefs to UniProt, GO, and Ensembl observed; no drug or disease entities",2.0,Multi organism functional classification covering many protein families and pathways; thousands of genes across species; moderate scale focused on functional annotation,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; functional and pathway context useful for mechanism interpretation but not directly usable for D→D modeling",0.0,No penalty: curated functional classification with expert review; high precision and no text mined generic assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
Library of Integrated Network-Based Cellular Signatures,2.0,"Entities: drugs + genes (genetic perturbations), disease mainly as context; relations are perturbation→signature (L1000, P100/GCP, imaging). Rich metadata/FAIR, but no native D-T/T-D/D-D edges",3.0,"Broad, cross-disease & multi-modality (L1000, proteomics, imaging, epigenetics); tens of thousands of perturbagens; hundreds of thousands of signatures; large multi-center program; FAIR & standardized.”",2.0,Strong for signature-based D→D (reversal/mimic) via CLUE/L1000CDS2; toxicity signatures (DToxS) aid filtering. Lacks curated D-T/T-D/D-D edges; needs join to DrugBank/ChEMBL/BindingDB and disease resources.,-1.0,"Perturbation signatures are reproducible and high-quality, but noise arises from cell-type/context-specific variability. Not text-mining noise, but biological variability → requires guardrails (dose/time/cell filtering). Moderate penalty.",True,Medium,https://orcid.org/0000-0003-4097-3395
Reactome,2.0,"Entities seen: gene protein, pathway, reaction, complex, small molecule; Relations: pathway membership, reaction participation, causal process links present; xrefs to UniProt, ChEBI, GO, Ensembl common; disease and drug entities present but secondary and not consistently linked",3.0,Broad general purpose pathway knowledgebase covering many diseases and biological processes; human focused with orthology projections; hundreds of thousands of reactions and pathway links; backbone scale,2.0,Direct edges exist via pathway annotated drug participation and disease pathways but D-T and D-D indication edges are indirect and inferred through pathways; direction and mechanistic causality present but not framed as therapeutic assertions; usable with guardrails,0.0,No penalty: expert curated pathways with detailed mechanistic assertions and high precision ≥85%,True,High,https://orcid.org/0000-0003-4097-3395
UMLS Metathesaurus (MTH) (from UMLS),3.0,"Covers diseases, drugs/chemicals, genes/genomes, anatomy, phenotypes, procedures, functions; concepts standardized to CUIs with 134 semantic types and 54 relation families.",3.0,"Unifies ~60 vocabularies (~900k concepts) spanning clinical medicine and life sciences, from MeSH and SNOMED to NCBI Taxonomy and early GO integration.",2.0,"Provides schema-level relations (e.g., ‘Pharmacologic Substance TREATS Disease or Syndrome’, ‘interacts with’) but not instance-level curated edges, so mainly useful for normalization and relation templates.",-1.0,"Very broad vocabulary integration, but a large portion of concepts/relations are non-actionable for D-T-D repurposing (billing codes, administrative vocabularies, generic ontology terms). Useful backbone, but includes a lot of 'non-repurposing noise'.",True,Medium,https://orcid.org/0000-0003-4097-3395
Protein Ontology,1.0,Entity seen: Protein only including isoforms and modified forms; relations limited to protein hierarchy and modification states; no drug or disease entities; no D-T/T-D/D-D relations,2.0,Multi organism coverage of protein forms and modifications; thousands of proteins and isoforms; moderate scale focused on protein-centric representation,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; relations describe protein forms and states without pharmacologic or disease linkage",0.0,No penalty: curated ontology with expert review; high precision and no text mined or generic associations,False,Low,https://orcid.org/0000-0003-4097-3395
DisGeNET,2.0,"Entities seen: gene target and disease; Relations: T-D gene-disease associations consistently present across records; xrefs to HGNC, UniProt, MeSH, MONDO observed; no drug entities or D-T/D-D relations",3.0,"Broad cross-disease and multi-organism coverage; hundreds of thousands of gene-disease associations; integrates curated sources, GWAS, and literature; large-scale backbone for disease genetics",2.0,Direct edges: T-D associations used at scale in practice; scores and evidence levels provided; direction and effect largely correlative rather than mechanistic; mappings to HGNC and disease ontologies generally usable,-1.0,Moderate noise due to mix of curated and text-mined associations; many edges generic “associated with”; confidence scores enable filtering to higher-quality subsets,True,Medium,https://orcid.org/0000-0003-4097-3395
Online Mendelian Inheritance in Man (OMIM),2.0,"Entities seen: gene and disease; Relation: T-D consistently present across records; xrefs to HGNC, NCBI Gene, and MONDO; descriptors detailed with synonyms and inheritance patterns",2.0,Multi-disease human coverage focused on genetic and rare disorders; thousands of gene-disease entries; moderate breadth across many phenotypes but limited to hereditary mechanisms,1.0,"Indirect only; no direct D-T or D-D edges; provides mechanistic T-D context but lacks pharmacologic, direction, or effect terms; valuable for disease mechanism mapping but not direct repurposing",0.0,Curated manual source with high precision ≥85%; all entries expert-reviewed; no text-mined or generic associations,True,Medium,https://orcid.org/0000-0003-4097-3395
Pharos,3.0,"Entities: targets/proteins, ligands/compounds, diseases; Relations: D-T, T-D, D-D target-mediated via DrugCentral integration; Descriptors: TDL classification, TIN-X scores, tissue expression, structures, pathways; Cross-refs: UniProt, ChEMBL, DrugBank, OMIM, Mondo, GO.",3.0,Broad target centric platform covering thousands of human proteins across druggability classes Tclin Tchem Tbio Tdark; integrates multiple upstream databases; large scale cross disease scope,2.0,Direct edges: D-T and T-D available through aggregation; evidence and provenance tracked by source; direction and effect inconsistent across inputs; requires source level filtering to be modeling ready,-1.0,Moderate noise due to heterogeneous integration and inherited associations from multiple sources; precision varies by target class and upstream database,True,Medium,https://orcid.org/0000-0003-4097-3395
Chemical Entity of Biological Interest,2.0,Rich ontology of small molecules with roles and structure descriptors; cross-referenced broadly; but lacks explicit gene/disease edges.,3.0,"General-purpose backbone ontology of small molecules, roles, and classes; >400k entities; multi-resource integration; cross-disease, multi-use.",1.0,"Great for harmonization (IDs, synonyms, chemical roles), but lacks curated D-T, T-D, or D-D edges; not plug-and-play for repurposing.",0.0,Fully curated ontology; stable IDs and cross-refs. No evidence of systematic noise. ,True,Medium,https://orcid.org/0000-0003-4097-3395
Human Phenotype Ontology,2.0,"Entities seen: phenotype and disease; Relations: disease-phenotype annotations and hierarchical phenotype structure present; xrefs to OMIM, Orphanet, MONDO common; no drug or target entities",3.0,Broad cross-disease phenotype backbone covering thousands of diseases and phenotypes; human-focused but widely used across rare and common disease contexts; large-scale ontology,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; phenotype associations useful for disease characterization but not directly usable for D→D modeling",0.0,No penalty: curated expert-maintained ontology with high precision; relations are deterministic and non-noisy,True,Medium,https://orcid.org/0000-0003-4097-3395
Gene Ontology Annotations,1.0,"Entity seen: gene protein only; relations link genes to GO terms (biological process, molecular function, cellular component); no drug or disease entities; no D-T, T-D, or D-D relations; xrefs to UniProt common",3.0,Broad multi species functional annotation backbone; millions of annotations across thousands of organisms; large scale and general purpose,1.0,Indirect only; annotations describe function and location without therapeutic or disease linkage; not usable for D→D modeling without downstream integration,0.0,No penalty: curated and evidence coded annotations with high precision; no text mined or generic associative noise,True,Medium,https://orcid.org/0000-0003-4097-3395
FDA Adverse Event Reporting System,2.0,Entities seen: drug and adverse event phenotype; Relations: D-D adverse event reports present at scale; xrefs to RxNorm and MedDRA typically available; no targets or diseases as primary modeled entities,3.0,Very large scale postmarketing safety database; millions of reports across thousands of drugs and adverse events; human focused and broad across therapeutic areas,2.0,Direct edges: D-D adverse event associations used widely in practice; direction clear drug causes AE; reporting context present; high reporting bias and confounding require filtering and disproportionality methods,-1.0,Moderate noise due to spontaneous reporting bias underreporting duplication and confounding by indication; signal detection requires statistical guardrails,True,Medium,https://orcid.org/0000-0003-4097-3395
Foundational Model of Anatomy Ontology (FMA -- both from UMLS and from OBO),1.0,"Entity seen: anatomical structure only; relations limited to anatomical hierarchy and part_of relations; no drug, target, or disease entities; xrefs to UMLS and OBO identifiers present",2.0,"75,000+ anatomical classes covering canonical human anatomy; integrated into UMLS and OBO Foundry; reference ontology for biomedical informatics; used in medical imaging, EHRs, education-anatomical vocabulary backbone but domain-specific (anatomy only)",1.0,"Zero pharmacological content: FMA describes anatomical structure (heart, liver, neurons) without drugs, targets, diseases, or any pharmacological/clinical relationships-anatomical reference vocabulary only, no repurposing edges.",0.0,No penalty: curated expert-built ontology with deterministic anatomical relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
National Center for Biotechnology Information Gene,1.0,"Entity seen: gene only; relations limited to gene identifiers, aliases, genomic context, and links to external resources; no D-T, T-D, D-D, or AE relations inside the source",3.0,Broad multi-species gene catalog covering millions of genes across organisms; backbone-scale reference used widely across biomedical databases,1.0,Indirect only; no direct therapeutic or disease relations; provides identifiers and links but requires downstream sources for modeling,0.0,No penalty: curated reference database with high precision and no text-mined generic assertions,False,Low,https://orcid.org/0000-0003-4097-3395
Gene Ontology,1.0,"Entities seen: GO terms only (biological process, molecular function, cellular component); relations limited to hierarchical and part_of relations among GO terms; no drug, gene, or disease entities inside the source; xrefs mainly ontology identifiers",3.0,Broad multi-species ontology backbone covering most biological processes and functions at large scale; widely used across biomedical resources,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; provides functional vocabulary but no therapeutic or disease assertions for modeling",0.0,No penalty: curated expert-maintained ontology with deterministic relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
ICD10PCS (from UMLS),1.0,"Entity seen: medical procedure only; relations limited to hierarchical and compositional code structure; no drug, target, or disease entities; xrefs primarily within UMLS",3.0,Broad procedural classification covering all inpatient procedures across medical and surgical domains; large scale administrative backbone used nationwide,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; procedural codes do not support therapeutic inference or D→D modeling",0.0,No penalty: curated administrative coding system with deterministic structure and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Tissue Expression Database,2.0,Entities seen: gene protein and tissue anatomy; Relations: gene-tissue expression associations present; xrefs to gene identifiers and anatomy terms observed; no drug or disease entities,2.0,Multi tissue human focused expression resource; thousands of genes across many tissues; moderate scale focused on expression modality,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; expression data provide contextual relevance but not direct therapeutic modeling",0.0,No penalty: curated expression measurements and annotations; high precision and no text mined generic assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
Comparative Toxicogenomics Database,3.0,"Entities seen: drug, target, disease; Relations: D-T, T-D, and D-D (chemical-disease) consistently present; xrefs rich across MeSH, NCBI Gene, and PubChem; descriptors well populated enabling D→T→D traversal",3.0,Broad cross-disease and multi-organism coverage; hundreds of thousands of chemical-gene-disease interactions; includes environmental and pharmacologic agents; multiple relation subtypes across species and modalities,2.0,"Direct edges: D-T, T-D, and D-D/chemical-disease curated and inferred; PMIDs and evidence codes present; direction partial with many “associated with” or “affects” edges; mappings to MeSH and NCBI Gene consistent",-1.0,Moderate noise due to mix of curated and inferred/text-mined edges; precision ~70-85%; confidence scores available for filtering; associations partly correlative rather than mechanistic,True,Medium,https://orcid.org/0000-0003-4097-3395
SIDER,2.0,"Entities seen: drug and adverse event; Relation: D-D (AE) consistently present across many records; xrefs to RxNorm, MedDRA, and UMLS; descriptors usable though limited to AE context",2.0,Multi-disease human coverage with thousands of drugs and adverse events; moderate breadth focused on marketed small molecules; limited modality and no target-level or pathway data,2.0,Direct edges: D-D adverse event pairs curated from package inserts; effect type explicit as AE; direction clear (drug causes AE); mapped cleanly to RxNorm and MedDRA; no mechanistic context beyond clinical effects,0.0,Curated manual extraction from drug labels; precision ≥85%; high reliability; minimal noise or text-mined ambiguity,True,High,https://orcid.org/0000-0003-4097-3395
Orphanet,2.0,"Entities seen: disease and gene; Relations: T-D gene-disease associations present; disease classification and phenotype links present; xrefs to OMIM, HGNC, ICD, and ORDO observed; no native drug entities",2.0,Rare disease focused resource covering thousands of rare diseases and associated genes; human only; moderate scale but narrow therapeutic scope,1.0,"Indirect only; no D-T, D-D indication, or AE edges; gene-disease links useful for mechanism understanding but not directly usable for D→D modeling",0.0,No penalty: curated expert maintained rare disease resource with high precision and no text mined generic assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
Mouse Genome Informatics,2.0,"Entities: gene, disease, phenotype; Relations: gene-phenotype (MP), mouse model→human disease (DO/OMIM), gene→GO, gene→expression (GXD); IDs: MGI/DO/MP/NCBI/PMID.",3.0,"Backbone mouse resource; cross-disease; many phenotypes/models; multiple relation subtypes (phenotype, expression, GO, disease models); regular releases / bulk access.",2.0,Direct edges: T-D (mouse model→human disease) with PMIDs; IDs clean (DO/OMIM/NCBI/MGI). No D-T/D-D/AE—needs drug databases for D→T→D.,0.0,"Curated, literature-backed annotations (phenotypes, disease models, GO, MP, DO). High trust in evidence. No penalty needed.",True,High,https://orcid.org/0000-0003-4097-3395
RxNorm,2.0,"Entities seen: drug and drug product concepts; Relations: drug-drug equivalence, ingredient, brand-generic, dose form relations present; xrefs to NDC, ATC, SNOMED CT, and UMLS common; no target or disease entities",3.0,Broad general purpose medication terminology covering nearly all US marketed drugs and formulations; large scale backbone used across EHRs and regulatory systems,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; supports normalization and mapping but not therapeutic inference or D→D modeling",0.0,No penalty: curated authoritative drug terminology with deterministic relations and high precision,True,Medium,https://orcid.org/0000-0003-4097-3395
Medication Reference Terminology (MED-RT) (from UMLS),2.0,"Entities seen: drug and drug class; relations include drug-class membership, mechanism of action, and physiologic effect; xrefs to RxNorm and UMLS present; disease entities not consistently modeled as first-class relations",2.0,Broad coverage of US medications and therapeutic classes; human focused; moderate scale with limited relation families centered on pharmacologic classification,2.0,Direct edges exist for drug-mechanism and drug-physiologic effect; limited or indirect disease indication context; no explicit D-T binding or AE modeling; usable with guardrails for class-level inference,0.0,No penalty: curated authoritative terminology maintained by NLM and VA; deterministic relations and high precision,True,High,https://orcid.org/0000-0003-4097-3395
Gene Ontology Plus,1.0,"Entities seen: GO terms with extended cross references to anatomy, chemicals, cell types, and phenotypes; relations primarily GO term hierarchy plus logical axioms; no native drug, disease, or target entities modeled as first class relations",3.0,Broad multi species ontology backbone extending GO with rich logical definitions and links to many external ontologies; large scale and general purpose,1.0,"Indirect only; no D-T, T-D, D-D indication, or AE edges; axioms improve semantic reasoning but do not create actionable therapeutic relations",0.0,No penalty: curated ontology extensions with deterministic logical axioms; high precision and no text mined generic assertions,True,Medium,https://orcid.org/0000-0003-4097-3395
ChEMBL,3.0,"Entities seen: drug, target, disease; Relations: D-T, T-D, D-D, and bioactivity annotations consistently present; xrefs rich across DrugBank, PubChem, UniProt, and MeSH; descriptors complete and support multi-hop traversal",3.0,"Broad multi-disease, multi-species coverage with millions of activity records; thousands of drugs and targets; includes diverse modalities such as small molecules, peptides, and biologics",3.0,"Direct edges: D-T and T-D with clear effect types (agonist, antagonist, inhibitor, binder); evidence, assay confidence, and direction well annotated; mappings to UniProt, HGNC, and MeSH clean and standard",0.0,Curated database with precision ≥85%; high-quality experimental bioactivity data; no generic or unscored associations,True,High,https://orcid.org/0000-0003-4097-3395
Veterans Association National Drug File (VANDF) (from UMLS),1.0,"Entities seen: drug and drug class; relations include drug-class membership, mechanism of action, pharmacologic action, and therapeutic intent; xrefs to RxNorm and UMLS present; disease entities not consistently modeled as explicit relations; no genes",2.0,Broad coverage of US medications used in the VA system; human focused; moderate scale with emphasis on pharmacologic classification rather than cross domain integration,2.0,Direct edges exist for drug-mechanism and pharmacologic action; indication context present but not structured as D-D indication edges; no explicit D-T binding or AE modeling; usable with guardrails,0.0,No penalty: curated authoritative VA maintained drug file with deterministic relations and high precision,True,Low,https://orcid.org/0000-0003-4097-3395
